barcode	percentage_success
4	80.0
14	73.33333333333333
18	73.33333333333333
21	80.0
23	80.0
29	60.0
32	80.0
39	60.0
44	26.666666666666668
54	80.0
55	66.66666666666666
60	66.66666666666666
66	66.66666666666666
71	80.0
82	66.66666666666666
85	66.66666666666666
88	92.85714285714286
90	71.42857142857143
91	64.28571428571429
103	92.85714285714286
107	92.85714285714286
112	71.42857142857143
113	85.71428571428571
120	100.0
125	82.35294117647058
129	64.70588235294117
143	52.94117647058824
148	52.94117647058824
149	76.47058823529412
172	58.82352941176471
175	88.23529411764706
185	81.25
187	50.0
188	61.111111111111114
201	72.22222222222221
209	66.66666666666666
214	77.77777777777779
218	72.22222222222221
233	44.44444444444444
245	72.22222222222221
249	68.75
252	87.5
259	75.0
264	93.75
307	87.5
313	81.25
349	81.25
364	81.25
367	75.0
380	64.70588235294117
393	76.47058823529412
395	82.35294117647058
396	82.35294117647058
397	52.94117647058824
400	58.82352941176471
402	76.47058823529412
404	76.47058823529412
407	76.47058823529412
408	70.58823529411765
410	52.94117647058824
412	64.70588235294117
413	58.82352941176471
416	64.70588235294117
422	70.58823529411765
429	66.66666666666666
431	86.66666666666667
433	66.66666666666666
437	60.0
441	93.33333333333333
444	73.33333333333333
446	86.66666666666667
449	80.0
